Transform,Model,RMSE,Std
Log (log1p),Stacking,21455.683926451653,1242.9683104195392
Cbrt,Stacking,21797.477020610673,1298.5521083461197
Log (log1p),Ridge,22346.053841845995,2140.507406031252
Log (log1p),ElasticNet,22349.781146151723,2127.003077645636
Sqrt,Stacking,22350.64355707156,1501.2045686326164
Log (log1p),Lasso,22555.861538515157,1993.7551953253787
None (Baseline),Grad. Boosting,22681.594138384076,1627.9747069017803
Box-Cox,Ridge,22777.92382976334,2631.7495000643785
Yeo-Johnson,Ridge,22777.947150278684,2631.779274759611
Sqrt,Grad. Boosting,22954.55188842931,2334.0217310012704
Cbrt,Ridge,23020.279529879965,1291.2312596212116
Cbrt,Grad. Boosting,23203.71949665458,2587.5396533579533
Box-Cox,ElasticNet,23275.09701143628,2200.331211453916
Yeo-Johnson,ElasticNet,23275.1871067261,2200.335137106002
Cbrt,ElasticNet,23452.054607007834,1479.7867785859032
Log (log1p),Grad. Boosting,23464.91207021783,2782.9198964387538
Cbrt,Lasso,23533.33490356811,1562.433476202648
Yeo-Johnson,Grad. Boosting,23598.42002333006,3007.637022676587
Box-Cox,Grad. Boosting,23598.42255966118,3007.6363701914183
None (Baseline),Stacking,23605.822070494673,1207.6716739484236
Sqrt,XGBoost,23650.05976456344,2197.267162719759
Box-Cox,Lasso,23714.244735478056,2123.6490046407202
Yeo-Johnson,Lasso,23714.37157400211,2123.6530546937233
Cbrt,XGBoost,23806.27209808014,2263.2199867682157
None (Baseline),XGBoost,23828.710690080818,1832.3216507762845
Yeo-Johnson,Stacking,23904.663784230303,2282.0678702205596
Box-Cox,Stacking,23934.041968225243,2306.203440192463
Log (log1p),XGBoost,23947.368946374325,2488.597919317859
Sqrt,Ridge,23990.445118965472,1390.5152865631762
Box-Cox,XGBoost,24084.456113246793,2199.09278326162
Yeo-Johnson,XGBoost,24105.210963592406,2129.220871265322
Log (log1p),LightGBM,24131.123853980007,1856.1392474402883
Box-Cox,LightGBM,24194.433492000382,1798.0201376531945
Yeo-Johnson,LightGBM,24242.56720637698,1831.7174319370142
Sqrt,LightGBM,24368.378743922643,1638.5462777855676
Cbrt,LightGBM,24512.804850379063,1738.4033577624107
Sqrt,ElasticNet,24552.863278557164,1877.279628892522
None (Baseline),LightGBM,24876.72414688186,1261.3787739692273
Sqrt,Random Forest,25414.93582185327,1218.9591556193693
None (Baseline),Random Forest,25483.49559610153,1066.4452521457015
Sqrt,Lasso,25492.26845430051,2872.3351625123637
Cbrt,Random Forest,25623.070682579688,1401.9362595874054
Log (log1p),Random Forest,25806.56760450857,1639.3748220230268
Yeo-Johnson,Random Forest,25820.424644832106,1704.9097474655946
Box-Cox,Random Forest,25841.566283860466,1627.92450395248
None (Baseline),Ridge,28166.216004891157,1918.3580275595912
None (Baseline),ElasticNet,28990.29797217079,2629.892506598856
None (Baseline),Lasso,31455.215487862974,5673.752654348895
